state,yr,qtr,index_sa
AR,2003,1,155.26
AR,2003,2,157.11
AR,2003,3,160.25
AR,2003,4,161.95
AR,2004,1,165.35
AR,2004,2,167.89
AR,2004,3,170.39
AR,2004,4,173.50
AR,2005,1,176.10
AR,2005,2,178.54
AR,2005,3,182.04
AR,2005,4,185.70
AR,2006,1,188.16
AR,2006,2,190.53
AR,2006,3,191.83
AR,2006,4,193.33
AR,2007,1,193.72
AR,2007,2,195.66
AR,2007,3,195.24
AR,2007,4,194.81
AR,2008,1,191.56
AR,2008,2,189.63
AR,2008,3,189.01
AR,2008,4,186.57
AR,2009,1,185.02
AR,2009,2,184.64
AR,2009,3,185.24
AR,2009,4,190.80
AR,2010,1,178.72
AR,2010,2,184.12
AR,2010,3,178.72
AR,2010,4,176.47
AR,2011,1,178.21
AR,2011,2,174.30
AR,2011,3,176.63
AR,2011,4,180.93
AR,2012,1,180.58
AR,2012,2,184.36
AR,2012,3,183.92
AR,2012,4,185.75
AR,2013,1,188.52
AR,2013,2,189.71
AR,2013,3,190.44
AR,2013,4,186.67
AZ,1991,1,100.00
AZ,1991,2,100.34
AZ,1991,3,99.29
AZ,1991,4,101.49
AZ,1992,1,102.13
AZ,1992,2,101.45
AZ,1992,3,102.73
AZ,1992,4,103.14
AZ,1993,1,104.12
AZ,1993,2,105.22
AZ,1993,3,106.61
AZ,1993,4,108.63
AZ,1994,1,109.95
AZ,1994,2,112.32
AZ,1994,3,113.77
AZ,1994,4,115.78
AZ,1995,1,117.31
AZ,1995,2,118.34
AZ,1995,3,120.46
AZ,1995,4,121.40
AZ,1996,1,123.22
AZ,1996,2,124.37
AZ,1996,3,125.51
AZ,1996,4,126.10
AZ,1997,1,127.39
AZ,1997,2,128.85
AZ,1997,3,129.93
AZ,1997,4,131.11
AZ,1998,1,132.37
AZ,1998,2,134.89
AZ,1998,3,136.87
AZ,1998,4,138.51
AZ,1999,1,140.82
AZ,1999,2,142.60
AZ,1999,3,145.06
AZ,1999,4,147.05
AZ,2000,1,149.39
AZ,2000,2,151.15
AZ,2000,3,152.88
AZ,2000,4,155.72
AZ,2001,1,157.89
AZ,2001,2,160.52
AZ,2001,3,162.47
AZ,2001,4,165.65
AZ,2002,1,166.97
AZ,2002,2,169.54
AZ,2002,3,172.44
AZ,2002,4,176.35
AZ,2003,1,179.89
AZ,2003,2,182.93
AZ,2003,3,186.69
AZ,2003,4,193.01
AZ,2004,1,199.16
AZ,2004,2,205.71
AZ,2004,3,216.28
AZ,2004,4,229.00
AZ,2005,1,244.87
AZ,2005,2,268.66
AZ,2005,3,289.40
AZ,2005,4,303.90
AZ,2006,1,314.97
AZ,2006,2,318.63
AZ,2006,3,314.45
AZ,2006,4,320.84
AZ,2007,1,318.78
AZ,2007,2,313.69
AZ,2007,3,306.38
AZ,2007,4,291.16
AZ,2008,1,277.62
AZ,2008,2,261.96
AZ,2008,3,242.95
AZ,2008,4,226.26
AZ,2009,1,217.13
AZ,2009,2,203.20
AZ,2009,3,200.20
AZ,2009,4,197.61
AZ,2010,1,191.22
AZ,2010,2,186.87
AZ,2010,3,179.43
AZ,2010,4,171.40
AZ,2011,1,167.82
AZ,2011,2,162.08
AZ,2011,3,162.35
AZ,2011,4,167.40
AZ,2012,1,173.54
AZ,2012,2,183.51
AZ,2012,3,194.20
AZ,2012,4,201.70
AZ,2013,1,206.31
AZ,2013,2,217.97
AZ,2013,3,223.96
AZ,2013,4,232.39
CA,1991,1,100.00
